-------------
GZTW10MK2
            85.2dB           300W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.8Hz  26Hz   49Hz  105.7dB 1615l + 130l  * 1x70mm   1320mm
 15.1Hz  27Hz   50Hz  107.2dB  871l + 130l  * 1x70mm   1176mm
 16.5Hz  29Hz   51Hz  108.7dB  575l + 130l  * 1x70mm   1049mm
 18.0Hz  31Hz   53Hz  110.2dB  416l + 130l  * 1x70mm    935mm
 19.6Hz  33Hz   54Hz  111.7dB  318l + 130l  * 1x70mm    833mm
 21.3Hz  35Hz   56Hz  113.2dB  251l + 130l  * 1x70mm    742mm
 23.1Hz  37Hz   58Hz  114.6dB  203l + 130l  * 1x70mm    662mm
 25.1Hz  39Hz   60Hz  116.0dB  167l + 130l  * 1x70mm    590mm
 27.2Hz  41Hz   62Hz  117.4dB  140l + 130l  * 1x70mm    526mm
 29.5Hz  42Hz   64Hz  118.8dB  127l + 130l  * 1x70mm    492mm
 31.9Hz  46Hz   67Hz  120.2dB  100l + 130l  * 1x70mm    417mm
 34.4Hz  49Hz   69Hz  121.5dB   86l + 130l  - 1x100mm   759mm
 37.2Hz  52Hz   72Hz  122.8dB   74l + 130l  - 1x100mm   677mm
 40.1Hz  55Hz   75Hz  124.2dB   64l + 130l  - 1x100mm   603mm
 10.5Hz  25Hz   45Hz  100.9dB 2163l +  96l  * 1x70mm   1865mm
 11.5Hz  27Hz   46Hz  102.5dB 1029l +  96l  * 1x70mm   1662mm
 12.6Hz  29Hz   47Hz  104.1dB  649l +  96l  * 1x70mm   1481mm
 13.8Hz  30Hz   49Hz  105.7dB  459l +  96l  * 1x70mm   1320mm
 15.1Hz  32Hz   50Hz  107.2dB  345l +  96l  * 1x70mm   1177mm
 16.5Hz  34Hz   51Hz  108.7dB  270l +  96l  * 1x70mm   1049mm
 18.0Hz  36Hz   53Hz  110.2dB  217l +  96l  * 1x70mm    935mm
 19.6Hz  38Hz   54Hz  111.7dB  178l +  96l  * 1x70mm    833mm
 21.3Hz  40Hz   56Hz  113.2dB  148l +  96l  * 1x70mm    742mm
 23.1Hz  43Hz   58Hz  114.6dB  124l +  96l  * 1x70mm    662mm
 25.1Hz  45Hz   60Hz  116.0dB  106l +  96l  * 1x70mm    590mm
 27.2Hz  41Hz   62Hz  117.4dB  140l +  96l  * 1x70mm    715mm
 29.5Hz  42Hz   64Hz  118.8dB  127l +  96l  * 1x70mm    670mm
 31.9Hz  46Hz   67Hz  120.2dB  100l +  96l  * 1x70mm    568mm
 29.6Hz  49Hz   69Hz  118.9dB   86l +  96l  * 1x70mm    506mm
 32.3Hz  52Hz   72Hz  120.4dB   74l +  96l  * 1x70mm    451mm
 40.1Hz  55Hz   75Hz  124.2dB   64l +  96l  * 1x70mm    402mm
 12.6Hz  31Hz   74Hz  104.0dB  436l +  66l  * 1x70mm   1865mm
 13.9Hz  32Hz   75Hz  105.7dB  330l +  66l  * 1x70mm   1662mm
 15.3Hz  34Hz   77Hz  107.4dB  260l +  66l  * 1x70mm   1481mm
 16.8Hz  36Hz   78Hz  109.1dB  210l +  66l  * 1x70mm   1320mm
 18.5Hz  38Hz   80Hz  110.7dB  172l +  66l  * 1x70mm   1177mm
 20.3Hz  41Hz   82Hz  112.3dB  144l +  66l  * 1x70mm   1049mm
 22.2Hz  43Hz   84Hz  113.9dB  121l +  66l  * 1x70mm    934mm
 24.3Hz  46Hz   86Hz  115.5dB  103l +  66l  * 1x70mm    833mm
 26.6Hz  48Hz   88Hz  117.0dB   88l +  66l  * 1x70mm    742mm
 29.0Hz  51Hz   91Hz  118.6dB   76l +  66l  * 1x70mm    662mm
 31.7Hz  54Hz   93Hz  120.1dB   66l +  66l  * 1x70mm    590mm
 34.5Hz  58Hz   96Hz  121.6dB   57l +  66l  * 1x70mm    526mm
 37.5Hz  61Hz   99Hz  123.0dB   50l +  66l  * 1x70mm    468mm
 40.7Hz  65Hz  102Hz  124.5dB   43l +  66l  * 1x70mm    417mm
 44.2Hz  68Hz  106Hz  125.9dB   38l +  66l  - 1x100mm   759mm
 47.9Hz  72Hz  109Hz  127.3dB   33l +  66l  - 1x100mm   677mm
 51.9Hz  77Hz  113Hz  128.7dB   29l +  66l  - 1x100mm   603mm
-------------
GZRW 12S-AL 
            91.4dB           500W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 12.7Hz  27Hz   55Hz   99.8dB -2727l +  41l  * 1x50mm   2030mm
 14.0Hz  28Hz   56Hz  101.4dB 1237l +  41l  * 1x50mm   1809mm
 15.3Hz  30Hz   58Hz  103.0dB  470l +  41l  * 1x50mm   1612mm
 16.8Hz  31Hz   59Hz  104.5dB  277l +  41l  * 1x50mm   1437mm
 18.3Hz  33Hz   61Hz  106.1dB  190l +  41l  * 1x50mm   1281mm
 20.0Hz  35Hz   62Hz  107.6dB  140l +  41l  * 1x50mm   1141mm
 21.8Hz  37Hz   64Hz  109.1dB  108l +  41l  * 1x50mm   1017mm
 23.8Hz  40Hz   66Hz  110.6dB   86l +  41l  * 1x50mm    907mm
 25.9Hz  42Hz   68Hz  112.1dB   70l +  41l  * 1x50mm    808mm
 28.1Hz  44Hz   70Hz  113.5dB   58l +  41l  * 1x50mm    720mm
 30.5Hz  47Hz   73Hz  114.9dB   49l +  41l  * 1x50mm    642mm
 33.0Hz  50Hz   75Hz  116.3dB   41l +  41l  * 1x50mm    572mm
 35.8Hz  52Hz   78Hz  117.7dB   38l +  41l  * 1x50mm    536mm
 38.7Hz  56Hz   81Hz  119.1dB   30l +  41l  * 1x50mm    454mm
 41.8Hz  59Hz   84Hz  120.4dB   26l +  41l  - 1x70mm    794mm
 45.1Hz  63Hz   87Hz  121.7dB   23l +  41l  - 1x70mm    707mm
 48.7Hz  67Hz   91Hz  123.0dB   20l +  41l  - 1x70mm    630mm
 12.7Hz  31Hz   55Hz   99.8dB  321l +  30l  * 1x50mm   2030mm
 14.0Hz  33Hz   56Hz  101.4dB  212l +  30l  * 1x50mm   1809mm
 15.3Hz  35Hz   58Hz  103.0dB  154l +  30l  * 1x50mm   1612mm
 16.8Hz  37Hz   59Hz  104.5dB  117l +  30l  * 1x50mm   1437mm
 18.3Hz  39Hz   61Hz  106.1dB   93l +  30l  * 1x50mm   1281mm
 20.0Hz  41Hz   62Hz  107.6dB   75l +  30l  * 1x50mm   1141mm
 21.8Hz  44Hz   64Hz  109.1dB   62l +  30l  * 1x50mm   1017mm
 23.8Hz  46Hz   66Hz  110.6dB   52l +  30l  * 1x50mm    907mm
 25.9Hz  49Hz   68Hz  112.1dB   44l +  30l  * 1x50mm    808mm
 28.1Hz  52Hz   70Hz  113.5dB   37l +  30l  * 1x50mm    720mm
 30.5Hz  55Hz   73Hz  114.9dB   32l +  30l  * 1x50mm    642mm
 33.0Hz  50Hz   75Hz  116.3dB   41l +  30l  * 1x50mm    779mm
 35.8Hz  52Hz   78Hz  117.7dB   38l +  30l  * 1x50mm    729mm
 38.7Hz  56Hz   81Hz  119.1dB   30l +  30l  * 1x50mm    618mm
 35.9Hz  59Hz   84Hz  117.8dB   26l +  30l  * 1x50mm    551mm
 39.2Hz  63Hz   87Hz  119.3dB   23l +  30l  * 1x50mm    491mm
 48.7Hz  67Hz   91Hz  123.0dB   20l +  30l  * 1x50mm    438mm
 15.3Hz  37Hz   90Hz  102.9dB  113l +  21l  * 1x50mm   2029mm
 16.9Hz  39Hz   92Hz  104.6dB   89l +  21l  * 1x50mm   1809mm
 18.6Hz  42Hz   93Hz  106.3dB   73l +  21l  * 1x50mm   1612mm
 20.4Hz  44Hz   95Hz  108.0dB   60l +  21l  * 1x50mm   1437mm
 22.4Hz  47Hz   97Hz  109.6dB   50l +  21l  * 1x50mm   1281mm
 24.6Hz  49Hz   99Hz  111.2dB   42l +  21l  * 1x50mm   1141mm
 27.0Hz  52Hz  102Hz  112.8dB   36l +  21l  * 1x50mm   1017mm
 29.5Hz  56Hz  104Hz  114.4dB   31l +  21l  * 1x50mm    907mm
 32.3Hz  59Hz  107Hz  115.9dB   27l +  21l  * 1x50mm    808mm
 35.3Hz  62Hz  110Hz  117.4dB   23l +  21l  * 1x50mm    720mm
 38.5Hz  66Hz  113Hz  119.0dB   20l +  21l  * 1x50mm    642mm
 41.9Hz  70Hz  117Hz  120.4dB   18l +  21l  * 1x50mm    572mm
 45.6Hz  74Hz  120Hz  121.9dB   15l +  21l  * 1x50mm    510mm
 49.5Hz  78Hz  124Hz  123.3dB   13l +  21l  * 1x50mm    454mm
 53.7Hz  83Hz  128Hz  124.8dB   12l +  21l  - 1x70mm    794mm
 58.2Hz  88Hz  133Hz  126.2dB   10l +  21l  - 1x70mm    707mm
