-------------
L18S801
            99.5dB           700W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 36.1Hz  72Hz  106Hz  118.9dB   57l +  37l  * 1x100mm  1203mm
 39.4Hz  77Hz  110Hz  120.4dB   50l +  37l  * 1x100mm  1072mm
 42.8Hz  81Hz  113Hz  121.9dB   43l +  37l  * 1x100mm   956mm
 46.5Hz  86Hz  117Hz  123.3dB   38l +  37l  * 1x100mm   852mm
 50.5Hz  91Hz  121Hz  124.7dB   33l +  37l  * 1x100mm   759mm
 54.7Hz  83Hz  125Hz  126.1dB   42l +  37l  * 1x100mm   921mm
 59.2Hz  85Hz  129Hz  127.5dB   39l +  37l  * 1x100mm   862mm
 64.1Hz  93Hz  134Hz  128.9dB   32l +  37l  * 1x100mm   731mm
 59.5Hz  98Hz  139Hz  127.6dB   28l +  37l  * 1x100mm   652mm
 65.0Hz 104Hz  145Hz  129.1dB   25l +  37l  * 1x100mm   581mm
 80.6Hz 110Hz  151Hz  132.9dB   22l +  37l  * 1x100mm   518mm
 25.3Hz  61Hz  149Hz  112.7dB   86l +  26l  * 1x100mm  2400mm
 27.9Hz  65Hz  152Hz  114.4dB   74l +  26l  * 1x100mm  2139mm
 30.8Hz  69Hz  155Hz  116.1dB   64l +  26l  * 1x100mm  1907mm
 33.8Hz  73Hz  158Hz  117.8dB   56l +  26l  * 1x100mm  1699mm
 37.2Hz  77Hz  161Hz  119.4dB   49l +  26l  * 1x100mm  1514mm
 40.8Hz  82Hz  165Hz  121.0dB   42l +  26l  * 1x100mm  1350mm
 44.7Hz  87Hz  168Hz  122.6dB   37l +  26l  * 1x100mm  1203mm
 48.9Hz  92Hz  173Hz  124.2dB   33l +  26l  * 1x100mm  1072mm
 53.5Hz  97Hz  177Hz  125.7dB   29l +  26l  * 1x100mm   955mm
 58.4Hz 103Hz  182Hz  127.3dB   25l +  26l  * 1x100mm   851mm
 63.7Hz 109Hz  187Hz  128.8dB   22l +  26l  * 1x100mm   759mm
 69.3Hz 116Hz  193Hz  130.3dB   20l +  26l  * 1x100mm   676mm
 75.4Hz 123Hz  199Hz  131.7dB   17l +  26l  * 1x100mm   603mm
 82.0Hz 130Hz  206Hz  133.2dB   15l +  26l  * 1x100mm   537mm
-------------
LF18X451
            97.0dB          1800W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 22.6Hz  47Hz   98Hz  112.8dB  152l +  36l  * 1x100mm  2989mm
 24.8Hz  50Hz  100Hz  114.4dB  126l +  36l  * 1x100mm  2664mm
 27.2Hz  53Hz  102Hz  116.0dB  105l +  36l  * 1x100mm  2374mm
 29.7Hz  56Hz  105Hz  117.6dB   89l +  36l  * 1x100mm  2116mm
 32.5Hz  59Hz  108Hz  119.1dB   76l +  36l  * 1x100mm  1886mm
 35.5Hz  63Hz  111Hz  120.7dB   65l +  36l  * 1x100mm  1681mm
 38.7Hz  66Hz  114Hz  122.2dB   57l +  36l  * 1x100mm  1498mm
 42.1Hz  70Hz  117Hz  123.7dB   49l +  36l  * 1x100mm  1335mm
 45.8Hz  74Hz  121Hz  125.1dB   43l +  36l  * 1x100mm  1190mm
 49.8Hz  79Hz  125Hz  126.6dB   37l +  36l  * 1x100mm  1061mm
 54.0Hz  84Hz  129Hz  128.0dB   33l +  36l  * 1x100mm   945mm
 58.6Hz  88Hz  134Hz  129.4dB   29l +  36l  * 1x100mm   843mm
 63.4Hz  91Hz  139Hz  130.8dB   27l +  36l  * 1x100mm   789mm
 68.6Hz  99Hz  144Hz  132.1dB   22l +  36l  * 1x100mm   669mm
 74.1Hz 105Hz  149Hz  133.5dB   19l +  36l  * 1x100mm   596mm
 80.0Hz 111Hz  155Hz  134.8dB   17l +  36l  * 1x100mm   532mm
 22.6Hz  55Hz   98Hz  112.8dB   94l +  26l  * 1x100mm  2989mm
 24.8Hz  58Hz  100Hz  114.4dB   80l +  26l  * 1x100mm  2664mm
 27.2Hz  61Hz  102Hz  116.0dB   69l +  26l  * 1x100mm  2374mm
 29.7Hz  65Hz  105Hz  117.6dB   59l +  26l  * 1x100mm  2116mm
 32.5Hz  69Hz  108Hz  119.1dB   51l +  26l  * 1x100mm  1886mm
 35.5Hz  73Hz  111Hz  120.7dB   45l +  26l  * 1x100mm  1681mm
 38.7Hz  77Hz  114Hz  122.2dB   39l +  26l  * 1x100mm  1498mm
 42.1Hz  82Hz  117Hz  123.7dB   34l +  26l  * 1x100mm  1335mm
 45.8Hz  87Hz  121Hz  125.1dB   30l +  26l  * 1x100mm  1190mm
 49.8Hz  92Hz  125Hz  126.6dB   26l +  26l  * 1x100mm  1061mm
 54.0Hz  97Hz  129Hz  128.0dB   23l +  26l  * 1x100mm   945mm
 58.6Hz  88Hz  134Hz  129.4dB   29l +  26l  * 1x100mm  1147mm
 63.4Hz  91Hz  139Hz  130.8dB   27l +  26l  * 1x100mm  1074mm
 68.6Hz  99Hz  144Hz  132.1dB   22l +  26l  * 1x100mm   911mm
 63.7Hz 105Hz  149Hz  130.8dB   19l +  26l  * 1x100mm   812mm
 69.6Hz 111Hz  155Hz  132.4dB   17l +  26l  * 1x100mm   724mm
 27.1Hz  66Hz  160Hz  116.0dB   58l +  18l  * 1x100mm  2989mm
 29.9Hz  70Hz  162Hz  117.7dB   50l +  18l  * 1x100mm  2664mm
 32.9Hz  74Hz  165Hz  119.4dB   44l +  18l  * 1x100mm  2375mm
 36.2Hz  78Hz  169Hz  121.0dB   38l +  18l  * 1x100mm  2116mm
 39.8Hz  83Hz  172Hz  122.7dB   33l +  18l  * 1x100mm  1886mm
 43.7Hz  88Hz  176Hz  124.3dB   29l +  18l  * 1x100mm  1681mm
 47.9Hz  93Hz  180Hz  125.9dB   26l +  18l  * 1x100mm  1498mm
 52.4Hz  98Hz  185Hz  127.4dB   23l +  18l  * 1x100mm  1335mm
 57.3Hz 104Hz  190Hz  129.0dB   20l +  18l  * 1x100mm  1190mm
 62.5Hz 110Hz  195Hz  130.5dB   18l +  18l  * 1x100mm  1060mm
