-------------
5W3211B
            87.2dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.3Hz  43Hz   86Hz  100.9dB  145l +  25l  * 1x70mm   2572mm
 23.3Hz  45Hz   88Hz  102.5dB  110l +  25l  * 1x70mm   2292mm
 25.5Hz  48Hz   90Hz  104.0dB   86l +  25l  * 1x70mm   2044mm
 27.9Hz  51Hz   92Hz  105.6dB   70l +  25l  * 1x70mm   1821mm
 30.4Hz  54Hz   95Hz  107.1dB   57l +  25l  * 1x70mm   1623mm
 33.2Hz  57Hz   98Hz  108.6dB   48l +  25l  * 1x70mm   1447mm
 36.1Hz  60Hz  101Hz  110.1dB   40l +  25l  * 1x70mm   1289mm
 39.3Hz  64Hz  104Hz  111.6dB   34l +  25l  * 1x70mm   1149mm
 42.7Hz  68Hz  107Hz  113.0dB   29l +  25l  * 1x70mm   1024mm
 46.3Hz  72Hz  111Hz  114.4dB   25l +  25l  * 1x70mm    913mm
 50.2Hz  76Hz  115Hz  115.8dB   22l +  25l  * 1x70mm    814mm
 54.4Hz  78Hz  119Hz  117.2dB   20l +  25l  * 1x70mm    762mm
 58.8Hz  85Hz  123Hz  118.6dB   16l +  25l  * 1x70mm    646mm
 63.6Hz  90Hz  128Hz  119.9dB   14l +  25l  * 1x70mm    576mm
 68.6Hz  96Hz  133Hz  121.2dB   13l +  25l  * 1x70mm    513mm
 74.0Hz 101Hz  138Hz  122.5dB   11l +  25l  * 1x70mm    457mm
 19.4Hz  47Hz   84Hz   99.3dB   93l +  18l  * 1x70mm   2886mm
 21.3Hz  50Hz   86Hz  100.9dB   74l +  18l  * 1x70mm   2572mm
 23.3Hz  53Hz   88Hz  102.5dB   61l +  18l  * 1x70mm   2292mm
 25.5Hz  56Hz   90Hz  104.0dB   50l +  18l  * 1x70mm   2043mm
 27.9Hz  59Hz   92Hz  105.6dB   42l +  18l  * 1x70mm   1821mm
 30.4Hz  63Hz   95Hz  107.1dB   36l +  18l  * 1x70mm   1623mm
 33.2Hz  66Hz   98Hz  108.6dB   31l +  18l  * 1x70mm   1447mm
 36.1Hz  70Hz  101Hz  110.1dB   26l +  18l  * 1x70mm   1289mm
 39.3Hz  74Hz  104Hz  111.6dB   23l +  18l  * 1x70mm   1149mm
 42.7Hz  79Hz  107Hz  113.0dB   20l +  18l  * 1x70mm   1024mm
 46.3Hz  84Hz  111Hz  114.4dB   17l +  18l  * 1x70mm    913mm
 50.2Hz  76Hz  115Hz  115.8dB   22l +  18l  * 1x70mm   1107mm
 54.4Hz  78Hz  119Hz  117.2dB   20l +  18l  * 1x70mm   1037mm
 58.8Hz  85Hz  123Hz  118.6dB   16l +  18l  * 1x70mm    880mm
 54.6Hz  90Hz  128Hz  117.3dB   14l +  18l  * 1x70mm    784mm
 59.7Hz  96Hz  133Hz  118.8dB   13l +  18l  * 1x70mm    699mm
 74.0Hz 101Hz  138Hz  122.5dB   11l +  18l  * 1x70mm    623mm
 23.2Hz  56Hz  137Hz  102.4dB   49l +  13l  * 1x70mm   2886mm
 25.6Hz  60Hz  139Hz  104.1dB   41l +  13l  * 1x70mm   2573mm
 28.2Hz  63Hz  142Hz  105.8dB   35l +  13l  * 1x70mm   2293mm
 31.1Hz  67Hz  145Hz  107.5dB   30l +  13l  * 1x70mm   2043mm
 34.1Hz  71Hz  148Hz  109.1dB   26l +  13l  * 1x70mm   1821mm
 37.4Hz  75Hz  151Hz  110.7dB   22l +  13l  * 1x70mm   1623mm
 41.0Hz  80Hz  155Hz  112.3dB   19l +  13l  * 1x70mm   1446mm
 44.9Hz  84Hz  159Hz  113.9dB   17l +  13l  * 1x70mm   1289mm
 49.1Hz  89Hz  163Hz  115.4dB   15l +  13l  * 1x70mm   1149mm
 53.6Hz  95Hz  167Hz  116.9dB   13l +  13l  * 1x70mm   1024mm
 58.5Hz 100Hz  172Hz  118.5dB   11l +  13l  * 1x70mm    913mm
 63.7Hz 106Hz  177Hz  119.9dB   10l +  13l  * 1x70mm    813mm
 69.3Hz 113Hz  183Hz  121.4dB    9l +  13l  * 1x70mm    725mm
 75.2Hz 119Hz  189Hz  122.8dB    8l +  13l  * 1x70mm    646mm
 81.7Hz 126Hz  195Hz  124.3dB    7l +  13l  * 1x70mm    576mm
 88.5Hz 134Hz  202Hz  125.7dB    6l +  13l  * 1x70mm    513mm
 95.8Hz 142Hz  209Hz  127.0dB    5l +  13l  * 1x70mm    457mm
-------------
15WX
            92.4dB           225W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 14.6Hz  30Hz   63Hz   98.1dB  585l +  82l  * 1x70mm   1527mm
 16.0Hz  32Hz   65Hz   99.8dB  435l +  82l  * 1x70mm   1361mm
 17.5Hz  34Hz   66Hz  101.3dB  337l +  82l  * 1x70mm   1213mm
