-------------
da175-8
            86.0dB            50W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 12.2Hz  28Hz   66Hz   97.6dB  264l +  60l  * 1x70mm   2394mm
 13.4Hz  30Hz   68Hz   99.3dB  212l +  60l  * 1x70mm   2133mm
 14.8Hz  32Hz   69Hz  100.9dB  174l +  60l  * 1x70mm   1901mm
 16.3Hz  34Hz   70Hz  102.6dB  145l +  60l  * 1x70mm   1694mm
 17.8Hz  36Hz   72Hz  104.2dB  122l +  60l  * 1x70mm   1510mm
 19.5Hz  38Hz   74Hz  105.8dB  104l +  60l  * 1x70mm   1346mm
 21.4Hz  40Hz   76Hz  107.4dB   89l +  60l  * 1x70mm   1199mm
 23.4Hz  43Hz   78Hz  108.9dB   76l +  60l  * 1x70mm   1069mm
 25.5Hz  45Hz   80Hz  110.4dB   66l +  60l  * 1x70mm    953mm
 27.8Hz  48Hz   82Hz  111.9dB   57l +  60l  * 1x70mm    849mm
 30.3Hz  51Hz   84Hz  113.4dB   50l +  60l  * 1x70mm    757mm
 33.0Hz  54Hz   87Hz  114.9dB   44l +  60l  * 1x70mm    675mm
 35.8Hz  57Hz   90Hz  116.3dB   38l +  60l  * 1x70mm    601mm
 38.9Hz  60Hz   93Hz  117.7dB   34l +  60l  * 1x70mm    536mm
 42.2Hz  64Hz   96Hz  119.1dB   30l +  60l  * 1x70mm    478mm
 45.6Hz  67Hz  100Hz  120.5dB   26l +  60l  * 1x70mm    426mm
-------------
dc380-8
            90.0dB           350W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 14.2Hz  29Hz   61Hz   94.3dB  342l +  73l  * 1x70mm   1812mm
 15.5Hz  31Hz   63Hz   95.9dB  279l +  73l  * 1x70mm   1615mm
 17.0Hz  33Hz   64Hz   97.5dB  231l +  73l  * 1x70mm   1440mm
 18.6Hz  35Hz   66Hz   99.0dB  194l +  73l  * 1x70mm   1283mm
 20.4Hz  37Hz   67Hz  100.6dB  164l +  73l  * 1x70mm   1144mm
 22.3Hz  39Hz   69Hz  102.1dB  140l +  73l  * 1x70mm   1019mm
 24.3Hz  42Hz   71Hz  103.6dB  120l +  73l  * 1x70mm    908mm
 26.4Hz  44Hz   74Hz  105.1dB  104l +  73l  * 1x70mm    810mm
 28.7Hz  47Hz   76Hz  106.6dB   90l +  73l  * 1x70mm    722mm
 31.2Hz  49Hz   78Hz  108.0dB   78l +  73l  * 1x70mm    643mm
 33.9Hz  52Hz   81Hz  109.4dB   68l +  73l  * 1x70mm    573mm
 36.7Hz  56Hz   84Hz  110.8dB   60l +  73l  * 1x70mm    511mm
 39.8Hz  57Hz   87Hz  112.2dB   55l +  73l  * 1x70mm    478mm
 43.0Hz  62Hz   90Hz  113.6dB   46l +  73l  * 1x70mm    406mm
 46.5Hz  66Hz   94Hz  114.9dB   40l +  73l  - 1x100mm   738mm
 50.2Hz  70Hz   97Hz  116.2dB   36l +  73l  - 1x100mm   658mm
 54.1Hz  74Hz  101Hz  117.6dB   32l +  73l  - 1x100mm   586mm
 14.2Hz  34Hz   61Hz   94.3dB  205l +  54l  * 1x70mm   1813mm
 15.5Hz  36Hz   63Hz   95.9dB  173l +  54l  * 1x70mm   1615mm
 17.0Hz  39Hz   64Hz   97.5dB  147l +  54l  * 1x70mm   1440mm
 18.6Hz  41Hz   66Hz   99.0dB  126l +  54l  * 1x70mm   1283mm
 20.4Hz  43Hz   67Hz  100.6dB  109l +  54l  * 1x70mm   1144mm
 22.3Hz  46Hz   69Hz  102.1dB   94l +  54l  * 1x70mm   1019mm
 24.3Hz  49Hz   71Hz  103.6dB   82l +  54l  * 1x70mm    908mm
 26.4Hz  51Hz   74Hz  105.1dB   71l +  54l  * 1x70mm    810mm
 28.7Hz  54Hz   76Hz  106.6dB   62l +  54l  * 1x70mm    722mm
 31.2Hz  58Hz   78Hz  108.0dB   55l +  54l  * 1x70mm    643mm
 33.9Hz  61Hz   81Hz  109.4dB   48l +  54l  * 1x70mm    573mm
 36.7Hz  56Hz   84Hz  110.8dB   60l +  54l  * 1x70mm    695mm
 39.8Hz  57Hz   87Hz  112.2dB   55l +  54l  * 1x70mm    651mm
 43.0Hz  62Hz   90Hz  113.6dB   46l +  54l  * 1x70mm    552mm
 40.0Hz  66Hz   94Hz  112.3dB   40l +  54l  * 1x70mm    492mm
 43.6Hz  70Hz   97Hz  113.8dB   36l +  54l  * 1x70mm    439mm
 54.1Hz  74Hz  101Hz  117.6dB   32l +  54l  - 1x100mm   798mm
 17.0Hz  41Hz  100Hz   97.4dB  123l +  37l  * 1x70mm   1812mm
 18.7Hz  44Hz  102Hz   99.1dB  106l +  37l  * 1x70mm   1616mm
 20.6Hz  46Hz  104Hz  100.8dB   92l +  37l  * 1x70mm   1440mm
 22.7Hz  49Hz  106Hz  102.5dB   80l +  37l  * 1x70mm   1283mm
 25.0Hz  52Hz  108Hz  104.1dB   70l +  37l  * 1x70mm   1144mm
 27.4Hz  55Hz  110Hz  105.7dB   61l +  37l  * 1x70mm   1019mm
 30.0Hz  58Hz  113Hz  107.3dB   53l +  37l  * 1x70mm    908mm
 32.9Hz  62Hz  116Hz  108.9dB   47l +  37l  * 1x70mm    810mm
 35.9Hz  65Hz  119Hz  110.4dB   41l +  37l  * 1x70mm    722mm
 39.2Hz  69Hz  122Hz  112.0dB   36l +  37l  * 1x70mm    643mm
 42.8Hz  73Hz  126Hz  113.5dB   32l +  37l  * 1x70mm    573mm
 46.6Hz  78Hz  130Hz  114.9dB   28l +  37l  * 1x70mm    511mm
 50.6Hz  82Hz  134Hz  116.4dB   25l +  37l  * 1x70mm    455mm
 55.0Hz  87Hz  138Hz  117.8dB   22l +  37l  * 1x70mm    406mm
 59.7Hz  92Hz  143Hz  119.3dB   20l +  37l  - 1x100mm   738mm
 64.7Hz  98Hz  148Hz  120.7dB   17l +  37l  - 1x100mm   658mm
 70.1Hz 104Hz  153Hz  122.0dB   15l +  37l  - 1x100mm   586mm
-------------
dcs205-4
            87.0dB           150W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 18.8Hz  39Hz   81Hz   93.9dB   50l +   8l  * 1x40mm   3072mm
 20.6Hz  41Hz   83Hz   95.5dB   38l +   8l  * 1x40mm   2738mm
 22.6Hz  44Hz   85Hz   97.1dB   30l +   8l  * 1x40mm   2440mm
 24.8Hz  46Hz   87Hz   98.6dB   25l +   8l  * 1x40mm   2175mm
 27.1Hz  49Hz   90Hz  100.2dB   20l +   8l  * 1x40mm   1938mm
 29.6Hz  52Hz   92Hz  101.7dB   17l +   8l  * 1x40mm   1727mm
 32.2Hz  55Hz   95Hz  103.2dB   14l +   8l  * 1x40mm   1540mm
 35.1Hz  59Hz   98Hz  104.7dB   12l +   8l  * 1x40mm   1372mm
 38.2Hz  62Hz  101Hz  106.1dB   11l +   8l  * 1x40mm   1223mm
 41.5Hz  66Hz  104Hz  107.6dB    9l +   8l  * 1x40mm   1090mm
 45.0Hz  70Hz  108Hz  109.0dB    8l +   8l  * 1x40mm    972mm
 48.8Hz  74Hz  111Hz  110.4dB    7l +   8l  * 1x40mm    866mm
 52.8Hz  76Hz  115Hz  111.8dB    6l +   8l  * 1x40mm    811mm
 57.1Hz  83Hz  120Hz  113.1dB    5l +   8l  * 1x40mm    688mm
 61.7Hz  88Hz  124Hz  114.5dB    5l +   8l  * 1x40mm    613mm
 66.6Hz  93Hz  129Hz  115.8dB    4l +   8l  * 1x40mm    546mm
 71.9Hz  98Hz  134Hz  117.1dB    4l +   8l  - 1x50mm    761mm
 18.8Hz  46Hz   81Hz   93.9dB   26l +   6l  * 1x40mm   3072mm
 20.6Hz  48Hz   83Hz   95.5dB   22l +   6l  * 1x40mm   2737mm
 22.6Hz  51Hz   85Hz   97.1dB   18l +   6l  * 1x40mm   2440mm
 24.8Hz  54Hz   87Hz   98.6dB   15l +   6l  * 1x40mm   2175mm
 27.1Hz  57Hz   90Hz  100.2dB   13l +   6l  * 1x40mm   1938mm
