-------------
W160al
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
107.0Hz 174Hz  283Hz  112.6dB    1l +   2l  * 1x40mm    568mm
116.3Hz 184Hz  292Hz  114.0dB    1l +   2l  - 1x50mm    791mm
126.2Hz 195Hz  302Hz  115.5dB    1l +   2l  - 1x50mm    705mm
136.8Hz 207Hz  312Hz  116.9dB    1l +   2l  - 1x50mm    628mm
148.1Hz 219Hz  324Hz  118.2dB    1l +   2l  - 1x50mm    560mm
-------------
axt08
            91.6dB            10W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 26.1Hz  54Hz  113Hz   94.3dB   50l +  10l  * 1x40mm   1256mm
 28.6Hz  57Hz  115Hz   95.9dB   41l +  10l  * 1x40mm   1120mm
 31.4Hz  61Hz  118Hz   97.5dB   33l +  10l  * 1x40mm    998mm
 34.3Hz  64Hz  121Hz   99.1dB   28l +  10l  * 1x40mm    890mm
 37.5Hz  68Hz  124Hz  100.6dB   23l +  10l  * 1x40mm    793mm
 41.0Hz  72Hz  128Hz  102.2dB   20l +  10l  * 1x40mm    706mm
 44.7Hz  77Hz  131Hz  103.7dB   17l +  10l  * 1x40mm    630mm
 48.6Hz  81Hz  135Hz  105.2dB   15l +  10l  * 1x40mm    561mm
 52.9Hz  86Hz  140Hz  106.6dB   13l +  10l  - 1x50mm    781mm
 57.5Hz  91Hz  144Hz  108.1dB   11l +  10l  - 1x50mm    697mm
 62.4Hz  96Hz  149Hz  109.5dB   10l +  10l  - 1x50mm    621mm
 67.6Hz 102Hz  154Hz  110.9dB    8l +  10l  - 1x50mm    553mm
 73.2Hz 106Hz  160Hz  112.3dB    8l +  10l  - 1x50mm    518mm
 79.2Hz 115Hz  166Hz  113.6dB    6l +  10l  - 1x50mm    439mm
 85.6Hz 121Hz  172Hz  115.0dB    6l +  10l    1x70mm    768mm
 92.3Hz 129Hz  179Hz  116.3dB    5l +  10l    1x70mm    684mm
 99.6Hz 136Hz  186Hz  117.6dB    4l +  10l    1x70mm    610mm
 26.1Hz  63Hz  113Hz   94.3dB   29l +   7l  * 1x40mm   1256mm
 28.6Hz  67Hz  115Hz   95.9dB   25l +   7l  * 1x40mm   1119mm
 31.4Hz  71Hz  118Hz   97.5dB   21l +   7l  * 1x40mm    998mm
 34.3Hz  75Hz  121Hz   99.1dB   18l +   7l  * 1x40mm    889mm
 37.5Hz  80Hz  124Hz  100.6dB   15l +   7l  * 1x40mm    793mm
 41.0Hz  84Hz  128Hz  102.2dB   13l +   7l  * 1x40mm    706mm
 44.7Hz  89Hz  131Hz  103.7dB   12l +   7l  * 1x40mm    630mm
 48.6Hz  95Hz  135Hz  105.2dB   10l +   7l  * 1x40mm    561mm
 52.9Hz 100Hz  140Hz  106.6dB    9l +   7l  - 1x50mm    782mm
 57.5Hz 106Hz  144Hz  108.1dB    8l +   7l  - 1x50mm    697mm
 62.4Hz 113Hz  149Hz  109.5dB    7l +   7l  - 1x50mm    621mm
