-------------
C104   
            87.0dB           150W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 30.1Hz  46Hz   69Hz  116.8dB   80l +  87l  * 1x70mm    638mm
 32.6Hz  47Hz   71Hz  118.2dB   74l +  87l  * 1x70mm    598mm
 35.3Hz  51Hz   74Hz  119.5dB   60l +  87l  * 1x70mm    507mm
 38.1Hz  54Hz   77Hz  120.9dB   52l +  87l  * 1x70mm    452mm
 41.1Hz  57Hz   80Hz  122.2dB   46l +  87l  * 1x70mm    403mm
 44.4Hz  61Hz   83Hz  123.5dB   40l +  87l  - 1x100mm   732mm
 11.6Hz  28Hz   50Hz  100.2dB  396l +  64l  * 1x70mm   2264mm
 12.7Hz  30Hz   51Hz  101.8dB  305l +  64l  * 1x70mm   2018mm
 14.0Hz  32Hz   53Hz  103.4dB  242l +  64l  * 1x70mm   1798mm
 15.3Hz  33Hz   54Hz  105.0dB  197l +  64l  * 1x70mm   1603mm
 16.7Hz  35Hz   55Hz  106.5dB  163l +  64l  * 1x70mm   1429mm
 18.2Hz  38Hz   57Hz  108.1dB  136l +  64l  * 1x70mm   1273mm
 19.9Hz  40Hz   59Hz  109.6dB  115l +  64l  * 1x70mm   1135mm
 21.7Hz  42Hz   60Hz  111.1dB   98l +  64l  * 1x70mm   1011mm
 23.6Hz  45Hz   62Hz  112.5dB   84l +  64l  * 1x70mm    901mm
 25.6Hz  47Hz   64Hz  114.0dB   72l +  64l  * 1x70mm    803mm
 27.8Hz  50Hz   66Hz  115.4dB   63l +  64l  * 1x70mm    716mm
 30.1Hz  46Hz   69Hz  116.8dB   80l +  64l  * 1x70mm    869mm
 32.6Hz  47Hz   71Hz  118.2dB   74l +  64l  * 1x70mm    814mm
 35.3Hz  51Hz   74Hz  119.5dB   60l +  64l  * 1x70mm    690mm
 32.8Hz  54Hz   77Hz  118.2dB   52l +  64l  * 1x70mm    615mm
 35.8Hz  57Hz   80Hz  119.8dB   46l +  64l  * 1x70mm    548mm
 44.4Hz  61Hz   83Hz  123.5dB   40l +  64l  * 1x70mm    488mm
 13.9Hz  34Hz   82Hz  103.4dB  190l +  45l  * 1x70mm   2264mm
 15.4Hz  36Hz   84Hz  105.1dB  158l +  45l  * 1x70mm   2018mm
 16.9Hz  38Hz   85Hz  106.8dB  132l +  45l  * 1x70mm   1799mm
 18.6Hz  40Hz   87Hz  108.4dB  112l +  45l  * 1x70mm   1603mm
 20.5Hz  43Hz   89Hz  110.1dB   95l +  45l  * 1x70mm   1429mm
 22.5Hz  45Hz   91Hz  111.7dB   82l +  45l  * 1x70mm   1273mm
 24.6Hz  48Hz   93Hz  113.3dB   71l +  45l  * 1x70mm   1135mm
 26.9Hz  51Hz   95Hz  114.8dB   61l +  45l  * 1x70mm   1011mm
 29.4Hz  54Hz   98Hz  116.4dB   53l +  45l  * 1x70mm    901mm
 32.1Hz  57Hz  100Hz  117.9dB   47l +  45l  * 1x70mm    803mm
 35.1Hz  60Hz  103Hz  119.4dB   41l +  45l  * 1x70mm    716mm
 38.2Hz  64Hz  106Hz  120.9dB   36l +  45l  * 1x70mm    638mm
 41.5Hz  67Hz  110Hz  122.4dB   31l +  45l  * 1x70mm    569mm
 45.1Hz  71Hz  113Hz  123.8dB   28l +  45l  * 1x70mm    507mm
 49.0Hz  76Hz  117Hz  125.2dB   24l +  45l  * 1x70mm    452mm
 53.1Hz  80Hz  121Hz  126.6dB   21l +  45l  * 1x70mm    403mm
 57.5Hz  85Hz  126Hz  128.0dB   19l +  45l  - 1x100mm   732mm
-------------
C158   
            90.0dB           250W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 11.9Hz  25Hz   51Hz  100.6dB  911l +  83l  * 1x70mm   2264mm
 13.0Hz  26Hz   53Hz  102.2dB  595l +  83l  * 1x70mm   2018mm
 14.3Hz  28Hz   54Hz  103.8dB  429l +  83l  * 1x70mm   1798mm
 15.6Hz  29Hz   55Hz  105.4dB  326l +  83l  * 1x70mm   1603mm
 17.1Hz  31Hz   57Hz  106.9dB  257l +  83l  * 1x70mm   1429mm
 18.7Hz  33Hz   58Hz  108.5dB  208l +  83l  * 1x70mm   1273mm
 20.4Hz  35Hz   60Hz  110.0dB  171l +  83l  * 1x70mm   1135mm
 22.2Hz  37Hz   62Hz  111.5dB  143l +  83l  * 1x70mm   1011mm
 24.1Hz  39Hz   64Hz  112.9dB  120l +  83l  * 1x70mm    901mm
 26.2Hz  42Hz   66Hz  114.4dB  102l +  83l  * 1x70mm    803mm
 28.4Hz  44Hz   68Hz  115.8dB   88l +  83l  * 1x70mm    716mm
 30.8Hz  47Hz   70Hz  117.2dB   75l +  83l  * 1x70mm    638mm
 33.4Hz  48Hz   73Hz  118.6dB   69l +  83l  * 1x70mm    598mm
 36.1Hz  52Hz   76Hz  119.9dB   57l +  83l  * 1x70mm    507mm
 39.0Hz  55Hz   79Hz  121.3dB   49l +  83l  * 1x70mm    452mm
 42.1Hz  59Hz   82Hz  122.6dB   43l +  83l  * 1x70mm    403mm
 45.4Hz  62Hz   85Hz  123.9dB   38l +  83l  - 1x100mm   732mm
 11.9Hz  29Hz   51Hz  100.6dB  355l +  61l  * 1x70mm   2264mm
 13.0Hz  31Hz   53Hz  102.2dB  277l +  61l  * 1x70mm   2018mm
 14.3Hz  32Hz   54Hz  103.8dB  222l +  61l  * 1x70mm   1798mm
 15.6Hz  34Hz   55Hz  105.4dB  182l +  61l  * 1x70mm   1603mm
 17.1Hz  36Hz   57Hz  106.9dB  151l +  61l  * 1x70mm   1429mm
 18.7Hz  38Hz   58Hz  108.5dB  127l +  61l  * 1x70mm   1273mm
 20.4Hz  41Hz   60Hz  110.0dB  108l +  61l  * 1x70mm   1135mm
 22.2Hz  43Hz   62Hz  111.5dB   92l +  61l  * 1x70mm   1011mm
 24.1Hz  46Hz   64Hz  112.9dB   79l +  61l  * 1x70mm    901mm
 26.2Hz  48Hz   66Hz  114.4dB   68l +  61l  * 1x70mm    803mm
 28.4Hz  51Hz   68Hz  115.8dB   59l +  61l  * 1x70mm    716mm
 30.8Hz  47Hz   70Hz  117.2dB   75l +  61l  * 1x70mm    869mm
 33.4Hz  48Hz   73Hz  118.6dB   69l +  61l  * 1x70mm    814mm
 36.1Hz  52Hz   76Hz  119.9dB   57l +  61l  * 1x70mm    690mm
 33.5Hz  55Hz   79Hz  118.6dB   49l +  61l  * 1x70mm    615mm
 36.6Hz  59Hz   82Hz  120.2dB   43l +  61l  * 1x70mm    548mm
 45.4Hz  62Hz   85Hz  123.9dB   38l +  61l  * 1x70mm    488mm
 14.3Hz  35Hz   84Hz  103.8dB  176l +  43l  * 1x70mm   2264mm
 15.7Hz  37Hz   85Hz  105.5dB  147l +  43l  * 1x70mm   2018mm
 17.3Hz  39Hz   87Hz  107.2dB  123l +  43l  * 1x70mm   1799mm
 19.1Hz  41Hz   89Hz  108.8dB  105l +  43l  * 1x70mm   1603mm
 20.9Hz  44Hz   91Hz  110.5dB   90l +  43l  * 1x70mm   1429mm
 23.0Hz  46Hz   93Hz  112.1dB   77l +  43l  * 1x70mm   1273mm
 25.2Hz  49Hz   95Hz  113.7dB   67l +  43l  * 1x70mm   1135mm
 27.6Hz  52Hz   97Hz  115.2dB   58l +  43l  * 1x70mm   1011mm
 30.1Hz  55Hz  100Hz  116.8dB   50l +  43l  * 1x70mm    901mm
 32.9Hz  58Hz  103Hz  118.3dB   44l +  43l  * 1x70mm    803mm
 35.9Hz  62Hz  106Hz  119.8dB   39l +  43l  * 1x70mm    716mm
 39.1Hz  65Hz  109Hz  121.3dB   34l +  43l  * 1x70mm    638mm
 42.5Hz  69Hz  112Hz  122.8dB   30l +  43l  * 1x70mm    569mm
 46.2Hz  73Hz  116Hz  124.2dB   26l +  43l  * 1x70mm    507mm
 50.1Hz  77Hz  120Hz  125.6dB   23l +  43l  * 1x70mm    452mm
 54.3Hz  82Hz  124Hz  127.0dB   20l +  43l  * 1x70mm    403mm
 58.8Hz  87Hz  129Hz  128.4dB   18l +  43l  - 1x100mm   732mm
-------------
C84    
            86.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.2Hz  34Hz   70Hz   91.2dB  -66l +  11l  * 1x40mm   3005mm
 17.8Hz  36Hz   72Hz   92.8dB  -94l +  11l  * 1x40mm   2678mm
