-------------
AWM104
            88.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 46.6Hz  85Hz  154Hz  119.6dB   38l +  34l  * 1x100mm   954mm
 50.9Hz  90Hz  159Hz  121.1dB   34l +  34l  * 1x100mm   850mm
 55.5Hz  95Hz  163Hz  122.6dB   30l +  34l  * 1x100mm   758mm
 60.4Hz 101Hz  168Hz  124.1dB   26l +  34l  * 1x100mm   675mm
 65.7Hz 107Hz  174Hz  125.6dB   23l +  34l  * 1x100mm   602mm
 71.4Hz 113Hz  179Hz  127.0dB   21l +  34l  * 1x100mm   537mm
 77.5Hz 120Hz  185Hz  128.4dB   18l +  34l  * 1x100mm   478mm
 84.0Hz 127Hz  192Hz  129.8dB   16l +  34l  * 1x100mm   426mm
 91.0Hz 135Hz  199Hz  131.2dB   14l +  34l  - 2x100mm   755mm
-------------
AW3000
            89.6dB           180W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.3Hz  32Hz   66Hz   94.8dB  244l +  27l  * 1x70mm   4277mm
 16.7Hz  34Hz   67Hz   96.4dB  169l +  27l  * 1x70mm   3812mm
 18.3Hz  36Hz   69Hz   98.0dB  126l +  27l  * 1x70mm   3397mm
 20.1Hz  38Hz   71Hz   99.6dB   98l +  27l  * 1x70mm   3029mm
 21.9Hz  40Hz   73Hz  101.1dB   78l +  27l  * 1x70mm   2699mm
 24.0Hz  42Hz   75Hz  102.7dB   64l +  27l  * 1x70mm   2405mm
 26.1Hz  45Hz   77Hz  104.2dB   53l +  27l  * 1x70mm   2144mm
 28.5Hz  47Hz   79Hz  105.6dB   44l +  27l  * 1x70mm   1911mm
 30.9Hz  50Hz   82Hz  107.1dB   38l +  27l  * 1x70mm   1703mm
 33.6Hz  53Hz   84Hz  108.5dB   32l +  27l  * 1x70mm   1518mm
 36.5Hz  56Hz   87Hz  110.0dB   28l +  27l  * 1x70mm   1353mm
