-------------
Aura_NSW1_205_8A
            78.0dB             5W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NSW2_326_8A
            84.0dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NS3_193_8A
            80.0dB            20W       1x40mm
 16.5Hz  34Hz   72Hz  101.2dB  214l +  11l  * 1x50mm   4378mm
 18.1Hz  36Hz   73Hz  102.9dB  112l +  11l  * 1x50mm   3902mm
 19.9Hz  39Hz   75Hz  104.4dB   73l +  11l  * 1x50mm   3478mm
 21.8Hz  41Hz   77Hz  106.0dB   52l +  11l  * 1x50mm   3100mm
 23.8Hz  43Hz   79Hz  107.6dB   40l +  11l  * 1x50mm   2763mm
 26.0Hz  46Hz   81Hz  109.1dB   31l +  11l  * 1x50mm   2462mm
 28.3Hz  49Hz   83Hz  110.6dB   25l +  11l  * 1x50mm   2195mm
 30.8Hz  51Hz   86Hz  112.1dB   21l +  11l  * 1x50mm   1956mm
 33.5Hz  54Hz   89Hz  113.5dB   17l +  11l  * 1x50mm   1743mm
 36.4Hz  58Hz   91Hz  115.0dB   15l +  11l  * 1x50mm   1554mm
 39.5Hz  61Hz   95Hz  116.4dB   12l +  11l  * 1x50mm   1385mm
 42.9Hz  65Hz   98Hz  117.8dB   11l +  11l  * 1x50mm   1234mm
 46.4Hz  67Hz  101Hz  119.2dB   10l +  11l  * 1x50mm   1156mm
 50.2Hz  73Hz  105Hz  120.5dB    8l +  11l  * 1x50mm    980mm
 54.2Hz  77Hz  109Hz  121.9dB    7l +  11l  * 1x50mm    874mm
 58.5Hz  82Hz  114Hz  123.2dB    6l +  11l  * 1x50mm    779mm
 63.1Hz  86Hz  118Hz  124.5dB    5l +  11l  * 1x50mm    694mm
 16.5Hz  40Hz   72Hz  101.2dB   58l +   8l  * 1x50mm   4379mm
 18.1Hz  42Hz   73Hz  102.9dB   43l +   8l  * 1x50mm   3902mm
 19.9Hz  45Hz   75Hz  104.4dB   34l +   8l  * 1x50mm   3478mm
 21.8Hz  48Hz   77Hz  106.0dB   27l +   8l  * 1x50mm   3100mm
 23.8Hz  50Hz   79Hz  107.6dB   22l +   8l  * 1x50mm   2763mm
 26.0Hz  53Hz   81Hz  109.1dB   18l +   8l  * 1x50mm   2462mm
 28.3Hz  57Hz   83Hz  110.6dB   15l +   8l  * 1x50mm   2195mm
 30.8Hz  60Hz   86Hz  112.1dB   13l +   8l  * 1x50mm   1956mm
 33.5Hz  64Hz   89Hz  113.5dB   11l +   8l  * 1x50mm   1743mm
 36.4Hz  67Hz   91Hz  115.0dB   10l +   8l  * 1x50mm   1554mm
 39.5Hz  71Hz   95Hz  116.4dB    8l +   8l  * 1x50mm   1385mm
 42.9Hz  65Hz   98Hz  117.8dB   11l +   8l  * 1x50mm   1680mm
 46.4Hz  67Hz  101Hz  119.2dB   10l +   8l  * 1x50mm   1573mm
 50.2Hz  73Hz  105Hz  120.5dB    8l +   8l  * 1x50mm   1334mm
 46.6Hz  77Hz  109Hz  119.3dB    7l +   8l  * 1x50mm   1189mm
 50.9Hz  82Hz  114Hz  120.8dB    6l +   8l  * 1x50mm   1060mm
 63.1Hz  86Hz  118Hz  124.5dB    5l +   8l  * 1x50mm    945mm
 19.8Hz  48Hz  117Hz  104.4dB   26l +   6l  * 1x50mm   4378mm
 21.9Hz  51Hz  119Hz  106.1dB   21l +   6l  * 1x50mm   3903mm
 24.1Hz  54Hz  121Hz  107.8dB   18l +   6l  * 1x50mm   3479mm
 26.5Hz  57Hz  123Hz  109.4dB   15l +   6l  * 1x50mm   3100mm
 29.1Hz  61Hz  126Hz  111.1dB   13l +   6l  * 1x50mm   2763mm
 32.0Hz  64Hz  129Hz  112.7dB   11l +   6l  * 1x50mm   2462mm
 35.0Hz  68Hz  132Hz  114.3dB    9l +   6l  * 1x50mm   2194mm
 38.3Hz  72Hz  135Hz  115.9dB    8l +   6l  * 1x50mm   1956mm
 41.9Hz  76Hz  139Hz  117.4dB    7l +   6l  * 1x50mm   1743mm
 45.7Hz  81Hz  143Hz  118.9dB    6l +   6l  * 1x50mm   1553mm
 49.9Hz  86Hz  147Hz  120.4dB    5l +   6l  * 1x50mm   1385mm
 54.3Hz  91Hz  151Hz  121.9dB    5l +   6l  * 1x50mm   1234mm
 59.1Hz  96Hz  156Hz  123.4dB    4l +   6l  * 1x50mm   1100mm
 64.2Hz 102Hz  161Hz  124.8dB    4l +   6l  * 1x50mm    980mm
 69.7Hz 108Hz  167Hz  126.2dB    3l +   6l  * 1x50mm    874mm
