-------------
LAT250 4/4
            91.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 25.0Hz  40Hz   56Hz  109.7dB   70l +  70l  * 1x70mm   1021mm
 31.1Hz  42Hz   58Hz  113.4dB   58l +  70l  * 1x70mm    910mm
 10.8Hz  25Hz   58Hz   95.0dB 17640l +  49l  * 1x70mm   3760mm
 11.9Hz  27Hz   60Hz   96.7dB  853l +  49l  * 1x70mm   3351mm
 13.0Hz  28Hz   61Hz   98.3dB  412l +  49l  * 1x70mm   2986mm
 14.3Hz  30Hz   62Hz  100.0dB  261l +  49l  * 1x70mm   2662mm
 15.7Hz  32Hz   63Hz  101.6dB  185l +  49l  * 1x70mm   2372mm
 17.2Hz  33Hz   65Hz  103.2dB  139l +  49l  * 1x70mm   2114mm
 18.9Hz  35Hz   67Hz  104.7dB  109l +  49l  * 1x70mm   1884mm
 20.6Hz  38Hz   68Hz  106.3dB   88l +  49l  * 1x70mm   1679mm
 22.5Hz  40Hz   70Hz  107.8dB   72l +  49l  * 1x70mm   1497mm
 24.5Hz  42Hz   72Hz  109.3dB   60l +  49l  * 1x70mm   1334mm
 26.7Hz  45Hz   74Hz  110.8dB   50l +  49l  * 1x70mm   1189mm
 29.1Hz  47Hz   77Hz  112.3dB   43l +  49l  * 1x70mm   1060mm
 31.6Hz  50Hz   79Hz  113.7dB   37l +  49l  * 1x70mm    944mm
 34.3Hz  53Hz   82Hz  115.1dB   31l +  49l  * 1x70mm    842mm
 37.2Hz  56Hz   85Hz  116.5dB   27l +  49l  * 1x70mm    750mm
 40.2Hz  59Hz   88Hz  117.9dB   24l +  49l  * 1x70mm    669mm
-------------
LAT700 8/8
            89.0dB           500W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 14.2Hz  25Hz   44Hz   99.9dB 1127l +  71l  * 1x70mm   2574mm
 15.5Hz  27Hz   46Hz  101.4dB  475l +  71l  * 1x70mm   2294mm
 16.9Hz  28Hz   47Hz  102.9dB  288l +  71l  * 1x70mm   2045mm
 18.4Hz  30Hz   49Hz  104.3dB  200l +  71l  * 1x70mm   1822mm
 20.0Hz  32Hz   50Hz  105.8dB  149l +  71l  * 1x70mm   1624mm
 21.7Hz  34Hz   52Hz  107.2dB  116l +  71l  * 1x70mm   1448mm
 23.5Hz  36Hz   54Hz  108.6dB   92l +  71l  * 1x70mm   1290mm
 25.5Hz  37Hz   56Hz  110.0dB   82l +  71l  * 1x70mm   1208mm
 27.5Hz  40Hz   58Hz  111.3dB   63l +  71l  * 1x70mm   1025mm
 29.8Hz  42Hz   60Hz  112.7dB   53l +  71l  * 1x70mm    913mm
 32.1Hz  45Hz   62Hz  114.0dB   45l +  71l  * 1x70mm    814mm
 34.6Hz  47Hz   65Hz  115.3dB   38l +  71l  * 1x70mm    725mm
 10.9Hz  25Hz   41Hz   95.2dB 1903l +  52l  * 1x70mm   3635mm
 11.9Hz  26Hz   42Hz   96.8dB  589l +  52l  * 1x70mm   3240mm
 13.0Hz  28Hz   43Hz   98.3dB  332l +  52l  * 1x70mm   2888mm
 14.2Hz  29Hz   44Hz   99.9dB  223l +  52l  * 1x70mm   2574mm
 15.5Hz  31Hz   46Hz  101.4dB  163l +  52l  * 1x70mm   2294mm
 16.9Hz  33Hz   47Hz  102.9dB  125l +  52l  * 1x70mm   2045mm
 18.4Hz  35Hz   49Hz  104.3dB   99l +  52l  * 1x70mm   1822mm
 20.0Hz  37Hz   50Hz  105.8dB   80l +  52l  * 1x70mm   1624mm
 21.7Hz  39Hz   52Hz  107.2dB   66l +  52l  * 1x70mm   1447mm
 23.5Hz  36Hz   54Hz  108.6dB   92l +  52l  * 1x70mm   1756mm
 25.5Hz  37Hz   56Hz  110.0dB   82l +  52l  * 1x70mm   1644mm
 27.5Hz  40Hz   58Hz  111.3dB   63l +  52l  * 1x70mm   1395mm
 25.6Hz  42Hz   60Hz  110.0dB   53l +  52l  * 1x70mm   1243mm
 27.9Hz  45Hz   62Hz  111.6dB   45l +  52l  * 1x70mm   1108mm
 34.6Hz  47Hz   65Hz  115.3dB   38l +  52l  * 1x70mm    987mm
 10.9Hz  26Hz   64Hz   95.2dB  524l +  36l  * 1x70mm   4577mm
 12.0Hz  28Hz   65Hz   96.9dB  308l +  36l  * 1x70mm   4080mm
 13.2Hz  30Hz   66Hz   98.6dB  210l +  36l  * 1x70mm   3636mm
 14.5Hz  31Hz   68Hz  100.2dB  155l +  36l  * 1x70mm   3240mm
 16.0Hz  33Hz   69Hz  101.9dB  120l +  36l  * 1x70mm   2888mm
 17.5Hz  35Hz   71Hz  103.5dB   96l +  36l  * 1x70mm   2574mm
 19.2Hz  37Hz   72Hz  105.1dB   78l +  36l  * 1x70mm   2294mm
 21.0Hz  39Hz   74Hz  106.6dB   64l +  36l  * 1x70mm   2044mm
 23.0Hz  42Hz   76Hz  108.2dB   54l +  36l  * 1x70mm   1822mm
 25.1Hz  44Hz   78Hz  109.7dB   46l +  36l  * 1x70mm   1624mm
 27.4Hz  47Hz   81Hz  111.2dB   39l +  36l  * 1x70mm   1447mm
 29.8Hz  50Hz   83Hz  112.7dB   33l +  36l  * 1x70mm   1290mm
 32.4Hz  53Hz   86Hz  114.2dB   29l +  36l  * 1x70mm   1150mm
 35.2Hz  56Hz   88Hz  115.6dB   25l +  36l  * 1x70mm   1025mm
 38.2Hz  59Hz   91Hz  117.0dB   22l +  36l  * 1x70mm    913mm
 41.4Hz  63Hz   95Hz  118.4dB   19l +  36l  * 1x70mm    814mm
 44.8Hz  66Hz   98Hz  119.8dB   17l +  36l  * 1x70mm    725mm
