-------------
M5N
            82.0dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 63.6Hz 115Hz  152Hz   96.6dB    2l +   2l  + 1x40mm   1244mm
 68.9Hz 104Hz  157Hz   98.0dB    3l +   2l  + 1x40mm   1510mm
 74.6Hz 108Hz  163Hz   99.3dB    3l +   2l  + 1x40mm   1414mm
 80.7Hz 117Hz  169Hz  100.7dB    2l +   2l  + 1x40mm   1199mm
 74.9Hz 124Hz  176Hz   99.4dB    2l +   2l  + 1x40mm   1069mm
 81.9Hz 131Hz  182Hz  101.0dB    2l +   2l  + 1x40mm    952mm
101.5Hz 139Hz  190Hz  104.7dB    1l +   2l  + 1x40mm    849mm
 31.9Hz  77Hz  188Hz   84.6dB    7l +   2l  + 1x40mm   3934mm
 35.2Hz  82Hz  191Hz   86.3dB    6l +   2l  + 1x40mm   3507mm
 38.7Hz  87Hz  195Hz   87.9dB    5l +   2l  + 1x40mm   3126mm
 42.6Hz  92Hz  198Hz   89.6dB    4l +   2l  + 1x40mm   2786mm
 46.8Hz  97Hz  203Hz   91.2dB    4l +   2l  + 1x40mm   2483mm
 51.4Hz 103Hz  207Hz   92.9dB    3l +   2l  + 1x40mm   2213mm
 56.3Hz 109Hz  212Hz   94.4dB    3l +   2l  + 1x40mm   1972mm
 61.6Hz 116Hz  218Hz   96.0dB    2l +   2l  + 1x40mm   1758mm
 67.4Hz 123Hz  223Hz   97.6dB    2l +   2l  + 1x40mm   1567mm
 73.5Hz 130Hz  229Hz   99.1dB    2l +   2l  + 1x40mm   1396mm
 80.2Hz 138Hz  236Hz  100.6dB    1l +   2l  + 1x40mm   1244mm
 87.3Hz 146Hz  243Hz  102.1dB    1l +   2l  + 1x40mm   1109mm
 95.0Hz 154Hz  251Hz  103.5dB    1l +   2l  + 1x40mm    988mm
103.2Hz 164Hz  259Hz  105.0dB    1l +   2l  + 1x40mm    881mm
112.0Hz 173Hz  268Hz  106.4dB    1l +   2l  - 1x40mm    785mm
121.4Hz 183Hz  277Hz  107.8dB    1l +   2l  - 1x40mm    700mm
131.5Hz 194Hz  287Hz  109.2dB    1l +   2l  - 1x40mm    624mm
-------------
D8G
            86.0dB           150W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.4Hz  34Hz   71Hz   91.2dB -652l +  13l  * 1x40mm   2577mm
 18.0Hz  36Hz   73Hz   92.9dB  426l +  13l  * 1x40mm   2296mm
 19.8Hz  38Hz   74Hz   94.5dB  149l +  13l  * 1x40mm   2047mm
 21.6Hz  41Hz   76Hz   96.0dB   86l +  13l  * 1x40mm   1824mm
 23.6Hz  43Hz   78Hz   97.6dB   59l +  13l  * 1x40mm   1626mm
 25.8Hz  46Hz   80Hz   99.1dB   43l +  13l  * 1x40mm   1449mm
 28.2Hz  48Hz   83Hz  100.6dB   33l +  13l  * 1x40mm   1291mm
 30.7Hz  51Hz   85Hz  102.1dB   26l +  13l  * 1x40mm   1151mm
 33.4Hz  54Hz   88Hz  103.5dB   21l +  13l  * 1x40mm   1026mm
 36.2Hz  57Hz   91Hz  105.0dB   18l +  13l  * 1x40mm    914mm
 39.3Hz  61Hz   94Hz  106.4dB   15l +  13l  * 1x40mm    815mm
 42.6Hz  64Hz   97Hz  107.8dB   13l +  13l  * 1x40mm    726mm
 46.1Hz  67Hz  101Hz  109.2dB   11l +  13l  * 1x40mm    680mm
 49.9Hz  72Hz  105Hz  110.5dB    9l +  13l  * 1x40mm    577mm
 53.9Hz  77Hz  109Hz  111.9dB    8l +  13l  * 1x40mm    514mm
 58.2Hz  81Hz  113Hz  113.2dB    7l +  13l  - 1x50mm    716mm
 62.8Hz  86Hz  117Hz  114.5dB    6l +  13l  - 1x50mm    638mm
 16.4Hz  40Hz   71Hz   91.2dB  101l +   9l  * 1x40mm   2577mm
 18.0Hz  42Hz   73Hz   92.9dB   66l +   9l  * 1x40mm   2296mm
 19.8Hz  45Hz   74Hz   94.5dB   47l +   9l  * 1x40mm   2046mm
 21.6Hz  47Hz   76Hz   96.0dB   36l +   9l  * 1x40mm   1824mm
 23.6Hz  50Hz   78Hz   97.6dB   28l +   9l  * 1x40mm   1626mm
 25.8Hz  53Hz   80Hz   99.1dB   23l +   9l  * 1x40mm   1449mm
 28.2Hz  56Hz   83Hz  100.6dB   19l +   9l  * 1x40mm   1291mm
 30.7Hz  60Hz   85Hz  102.1dB   16l +   9l  * 1x40mm   1151mm
 33.4Hz  63Hz   88Hz  103.5dB   13l +   9l  * 1x40mm   1026mm
 36.2Hz  67Hz   91Hz  105.0dB   11l +   9l  * 1x40mm    914mm
 39.3Hz  71Hz   94Hz  106.4dB   10l +   9l  * 1x40mm    815mm
 42.6Hz  64Hz   97Hz  107.8dB   13l +   9l  * 1x40mm    989mm
 46.1Hz  67Hz  101Hz  109.2dB   11l +   9l  * 1x40mm    926mm
 49.9Hz  72Hz  105Hz  110.5dB    9l +   9l  * 1x40mm    785mm
 46.4Hz  77Hz  109Hz  109.3dB    8l +   9l  * 1x40mm    700mm
 50.6Hz  81Hz  113Hz  110.8dB    7l +   9l  * 1x40mm    624mm
 62.8Hz  86Hz  117Hz  114.5dB    6l +   9l  * 1x40mm    556mm
 19.7Hz  48Hz  116Hz   94.4dB   34l +   6l  * 1x40mm   2576mm
 21.7Hz  51Hz  118Hz   96.1dB   27l +   6l  * 1x40mm   2297mm
 24.0Hz  54Hz  120Hz   97.8dB   22l +   6l  * 1x40mm   2047mm
 26.4Hz  57Hz  123Hz   99.4dB   18l +   6l  * 1x40mm   1824mm
 29.0Hz  60Hz  125Hz  101.1dB   15l +   6l  * 1x40mm   1626mm
 31.8Hz  64Hz  128Hz  102.7dB   13l +   6l  * 1x40mm   1449mm
 34.8Hz  68Hz  131Hz  104.3dB   11l +   6l  * 1x40mm   1291mm
 38.1Hz  72Hz  135Hz  105.9dB    9l +   6l  * 1x40mm   1151mm
 41.7Hz  76Hz  138Hz  107.4dB    8l +   6l  * 1x40mm   1026mm
 45.5Hz  80Hz  142Hz  108.9dB    7l +   6l  * 1x40mm    914mm
 49.6Hz  85Hz  146Hz  110.4dB    6l +   6l  * 1x40mm    815mm
 54.0Hz  90Hz  150Hz  111.9dB    5l +   6l  * 1x40mm    726mm
 58.8Hz  95Hz  155Hz  113.4dB    5l +   6l  * 1x40mm    647mm
 63.8Hz 101Hz  160Hz  114.8dB    4l +   6l  * 1x40mm    577mm
 69.3Hz 107Hz  166Hz  116.2dB    4l +   6l  * 1x40mm    514mm
 75.1Hz 113Hz  172Hz  117.6dB    3l +   6l  - 1x50mm    716mm
