-------------
hm130c0
            88.0dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 24.3Hz  49Hz   98Hz   89.7dB   55l +  15l  * 1x40mm   1030mm
 26.6Hz  52Hz  100Hz   91.3dB   46l +  15l  * 1x40mm    918mm
 29.1Hz  55Hz  103Hz   92.9dB   39l +  15l  * 1x40mm    819mm
 31.8Hz  58Hz  105Hz   94.5dB   33l +  15l  * 1x40mm    729mm
 34.8Hz  61Hz  108Hz   96.0dB   29l +  15l  * 1x40mm    650mm
 37.9Hz  65Hz  112Hz   97.5dB   25l +  15l  * 1x40mm    580mm
 41.3Hz  69Hz  115Hz   99.0dB   21l +  15l  * 1x40mm    517mm
 44.9Hz  73Hz  119Hz  100.4dB   19l +  15l  - 1x50mm    719mm
 48.8Hz  77Hz  122Hz  101.9dB   16l +  15l  - 1x50mm    641mm
 53.0Hz  82Hz  127Hz  103.3dB   14l +  15l  - 1x50mm    571mm
 57.4Hz  87Hz  131Hz  104.7dB   12l +  15l  - 1x50mm    509mm
 62.1Hz  90Hz  136Hz  106.1dB   11l +  15l  - 1x50mm    477mm
 67.2Hz  97Hz  141Hz  107.4dB   10l +  15l    1x70mm    793mm
 72.6Hz 103Hz  146Hz  108.8dB    8l +  15l    1x70mm    706mm
 78.4Hz 109Hz  152Hz  110.1dB    7l +  15l    1x70mm    630mm
 84.5Hz 116Hz  158Hz  111.4dB    7l +  15l    1x70mm    561mm
 22.1Hz  54Hz   96Hz   88.1dB   41l +  11l  * 1x40mm   1156mm
 24.3Hz  57Hz   98Hz   89.7dB   35l +  11l  * 1x40mm   1030mm
 26.6Hz  60Hz  100Hz   91.3dB   30l +  11l  * 1x40mm    918mm
 29.1Hz  64Hz  103Hz   92.9dB   26l +  11l  * 1x40mm    819mm
 31.8Hz  68Hz  105Hz   94.5dB   22l +  11l  * 1x40mm    730mm
 34.8Hz  72Hz  108Hz   96.0dB   19l +  11l  * 1x40mm    650mm
 37.9Hz  76Hz  112Hz   97.5dB   17l +  11l  * 1x40mm    580mm
 41.3Hz  80Hz  115Hz   99.0dB   15l +  11l  * 1x40mm    516mm
 44.9Hz  85Hz  119Hz  100.4dB   13l +  11l  - 1x50mm    719mm
 48.8Hz  90Hz  122Hz  101.9dB   11l +  11l  - 1x50mm    641mm
 53.0Hz  96Hz  127Hz  103.3dB   10l +  11l  - 1x50mm    571mm
 57.4Hz  87Hz  131Hz  104.7dB   12l +  11l  - 1x50mm    693mm
 62.1Hz  90Hz  136Hz  106.1dB   11l +  11l  - 1x50mm    649mm
 67.2Hz  97Hz  141Hz  107.4dB   10l +  11l  - 1x50mm    551mm
 62.4Hz 103Hz  146Hz  106.1dB    8l +  11l  - 1x50mm    491mm
 68.2Hz 109Hz  152Hz  107.7dB    7l +  11l  - 1x50mm    437mm
 84.5Hz 116Hz  158Hz  111.4dB    7l +  11l    1x70mm    764mm
 26.6Hz  64Hz  156Hz   91.3dB   25l +   8l  * 1x40mm   1156mm
 29.3Hz  68Hz  159Hz   93.0dB   22l +   8l  * 1x40mm   1031mm
 32.3Hz  72Hz  162Hz   94.7dB   19l +   8l  * 1x40mm    919mm
 35.5Hz  77Hz  165Hz   96.3dB   16l +   8l  * 1x40mm    819mm
 39.0Hz  81Hz  169Hz   98.0dB   14l +   8l  * 1x40mm    730mm
 42.8Hz  86Hz  173Hz   99.6dB   13l +   8l  * 1x40mm    650mm
 46.9Hz  91Hz  177Hz  101.2dB   11l +   8l  * 1x40mm    579mm
 51.3Hz  96Hz  181Hz  102.7dB   10l +   8l  * 1x40mm    516mm
 56.1Hz 102Hz  186Hz  104.3dB    9l +   8l  - 1x50mm    719mm
 61.3Hz 108Hz  191Hz  105.8dB    8l +   8l  - 1x50mm    641mm
 66.8Hz 115Hz  197Hz  107.3dB    7l +   8l  - 1x50mm    571mm
 72.7Hz 121Hz  203Hz  108.8dB    6l +   8l  - 1x50mm    509mm
 79.1Hz 129Hz  209Hz  110.3dB    5l +   8l  - 1x50mm    454mm
 86.0Hz 136Hz  216Hz  111.7dB    5l +   8l    1x70mm    793mm
 93.3Hz 144Hz  223Hz  113.1dB    4l +   8l    1x70mm    707mm
101.1Hz 153Hz  231Hz  114.5dB    4l +   8l    1x70mm    630mm
109.5Hz 162Hz  239Hz  115.9dB    3l +   8l    1x70mm    561mm
-------------
am210g0
            91.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 22.1Hz  46Hz   96Hz   91.1dB   61l +  15l  * 1x40mm   1173mm
 24.3Hz  49Hz   98Hz   92.7dB   51l +  15l  * 1x40mm   1045mm
 26.6Hz  52Hz  100Hz   94.3dB   43l +  15l  * 1x40mm    931mm
 29.1Hz  55Hz  103Hz   95.9dB   37l +  15l  * 1x40mm    830mm
 31.8Hz  58Hz  105Hz   97.4dB   31l +  15l  * 1x40mm    740mm
 34.7Hz  61Hz  108Hz   98.9dB   27l +  15l  * 1x40mm    659mm
 37.9Hz  65Hz  111Hz  100.4dB   23l +  15l  * 1x40mm    588mm
 41.3Hz  69Hz  115Hz  101.9dB   20l +  15l  * 1x40mm    524mm
 44.9Hz  73Hz  118Hz  103.4dB   18l +  15l  - 1x50mm    729mm
 48.8Hz  77Hz  122Hz  104.8dB   16l +  15l  - 1x50mm    650mm
 52.9Hz  82Hz  126Hz  106.2dB   14l +  15l  - 1x50mm    579mm
 57.4Hz  87Hz  131Hz  107.6dB   12l +  15l  - 1x50mm    516mm
 62.1Hz  90Hz  136Hz  109.0dB   11l +  15l  - 1x50mm    484mm
 67.2Hz  97Hz  141Hz  110.4dB    9l +  15l  - 1x50mm    410mm
 72.6Hz 103Hz  146Hz  111.7dB    8l +  15l    1x70mm    717mm
 78.3Hz 109Hz  152Hz  113.1dB    7l +  15l    1x70mm    639mm
 84.5Hz 116Hz  158Hz  114.4dB    6l +  15l    1x70mm    569mm
 22.1Hz  54Hz   96Hz   91.1dB   39l +  11l  * 1x40mm   1173mm
 24.3Hz  57Hz   98Hz   92.7dB   33l +  11l  * 1x40mm   1045mm
 26.6Hz  60Hz  100Hz   94.3dB   28l +  11l  * 1x40mm    931mm
 29.1Hz  64Hz  103Hz   95.9dB   25l +  11l  * 1x40mm    830mm
 31.8Hz  68Hz  105Hz   97.4dB   21l +  11l  * 1x40mm    740mm
 34.7Hz  72Hz  108Hz   98.9dB   19l +  11l  * 1x40mm    659mm
 37.9Hz  76Hz  111Hz  100.4dB   16l +  11l  * 1x40mm    588mm
 41.3Hz  80Hz  115Hz  101.9dB   14l +  11l  * 1x40mm    524mm
 44.9Hz  85Hz  118Hz  103.4dB   13l +  11l  - 1x50mm    730mm
 48.8Hz  90Hz  122Hz  104.8dB   11l +  11l  - 1x50mm    650mm
 52.9Hz  95Hz  126Hz  106.2dB   10l +  11l  - 1x50mm    579mm
 57.4Hz  87Hz  131Hz  107.6dB   12l +  11l  - 1x50mm    703mm
 62.1Hz  90Hz  136Hz  109.0dB   11l +  11l  - 1x50mm    658mm
 67.2Hz  97Hz  141Hz  110.4dB    9l +  11l  - 1x50mm    558mm
 62.4Hz 103Hz  146Hz  109.1dB    8l +  11l  - 1x50mm    498mm
 68.1Hz 109Hz  152Hz  110.6dB    7l +  11l  - 1x50mm    444mm
 84.5Hz 116Hz  158Hz  114.4dB    6l +  11l    1x70mm    775mm
 26.5Hz  64Hz  156Hz   94.3dB   24l +   8l  * 1x40mm   1173mm
 29.3Hz  68Hz  159Hz   96.0dB   21l +   8l  * 1x40mm   1045mm
 32.2Hz  72Hz  162Hz   97.6dB   18l +   8l  * 1x40mm    932mm
 35.5Hz  77Hz  165Hz   99.3dB   16l +   8l  * 1x40mm    830mm
 39.0Hz  81Hz  169Hz  100.9dB   14l +   8l  * 1x40mm    740mm
 42.8Hz  86Hz  173Hz  102.5dB   12l +   8l  * 1x40mm    659mm
 46.9Hz  91Hz  177Hz  104.1dB   11l +   8l  * 1x40mm    588mm
 51.3Hz  96Hz  181Hz  105.7dB    9l +   8l  * 1x40mm    524mm
 56.1Hz 102Hz  186Hz  107.2dB    8l +   8l  - 1x50mm    729mm
 61.2Hz 108Hz  191Hz  108.8dB    7l +   8l  - 1x50mm    650mm
 66.8Hz 115Hz  197Hz  110.3dB    7l +   8l  - 1x50mm    579mm
 72.7Hz 121Hz  202Hz  111.8dB    6l +   8l  - 1x50mm    516mm
 79.1Hz 129Hz  209Hz  113.2dB    5l +   8l  - 1x50mm    460mm
 85.9Hz 136Hz  216Hz  114.7dB    5l +   8l  - 1x50mm    410mm
 93.2Hz 144Hz  223Hz  116.1dB    4l +   8l    1x70mm    717mm
101.1Hz 153Hz  231Hz  117.5dB    4l +   8l    1x70mm    639mm
109.4Hz 162Hz  239Hz  118.9dB    3l +   8l    1x70mm    569mm
