-------------
13 wxp-mg
            84.0dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 71.7Hz  98Hz  134Hz  103.0dB    6l +  11l    1x50mm    559mm
 18.8Hz  46Hz   81Hz   79.7dB -318l +   8l  + 1x40mm   2256mm
 20.6Hz  48Hz   83Hz   81.3dB  345l +   8l  + 1x40mm   2011mm
 22.6Hz  51Hz   85Hz   82.9dB  103l +   8l  + 1x40mm   1792mm
 24.7Hz  54Hz   87Hz   84.4dB   58l +   8l  + 1x40mm   1597mm
 27.0Hz  57Hz   89Hz   86.0dB   39l +   8l  + 1x40mm   1424mm
 29.5Hz  61Hz   92Hz   87.5dB   28l +   8l  + 1x40mm   1269mm
 32.2Hz  64Hz   95Hz   89.0dB   22l +   8l  + 1x40mm   1131mm
 35.0Hz  68Hz   97Hz   90.5dB   17l +   8l  + 1x40mm   1008mm
 38.1Hz  72Hz  101Hz   92.0dB   14l +   8l  + 1x40mm    898mm
 41.4Hz  77Hz  104Hz   93.4dB   12l +   8l  + 1x40mm    801mm
 44.9Hz  81Hz  107Hz   94.8dB   10l +   8l  - 1x40mm    714mm
 48.7Hz  74Hz  111Hz   96.2dB   13l +   8l  + 1x40mm    866mm
 52.7Hz  76Hz  115Hz   97.6dB   12l +   8l  + 1x40mm    811mm
 57.0Hz  83Hz  119Hz   99.0dB    9l +   8l  - 1x40mm    688mm
 53.0Hz  87Hz  124Hz   97.7dB    8l +   8l  - 1x40mm    613mm
 57.9Hz  93Hz  129Hz   99.2dB    7l +   8l  - 1x40mm    546mm
 71.7Hz  98Hz  134Hz  103.0dB    6l +   8l    1x50mm    760mm
 22.5Hz  55Hz  133Hz   82.8dB   54l +   6l  + 1x40mm   2256mm
 24.8Hz  58Hz  135Hz   84.5dB   37l +   6l  + 1x40mm   2011mm
 27.4Hz  61Hz  138Hz   86.2dB   27l +   6l  + 1x40mm   1792mm
 30.1Hz  65Hz  140Hz   87.9dB   21l +   6l  + 1x40mm   1597mm
 33.1Hz  69Hz  143Hz   89.5dB   17l +   6l  + 1x40mm   1424mm
 36.3Hz  73Hz  146Hz   91.1dB   13l +   6l  + 1x40mm   1269mm
 39.8Hz  77Hz  150Hz   92.7dB   11l +   6l  + 1x40mm   1131mm
 43.6Hz  82Hz  154Hz   94.3dB    9l +   6l  + 1x40mm   1008mm
 47.6Hz  87Hz  158Hz   95.8dB    8l +   6l  + 1x40mm    898mm
 52.0Hz  92Hz  162Hz   97.4dB    7l +   6l  + 1x40mm    800mm
 56.7Hz  97Hz  167Hz   98.9dB    6l +   6l  - 1x40mm    714mm
 61.7Hz 103Hz  172Hz  100.3dB    5l +   6l  - 1x40mm    636mm
 67.1Hz 109Hz  177Hz  101.8dB    4l +   6l  - 1x40mm    567mm
 73.0Hz 116Hz  183Hz  103.2dB    4l +   6l    1x50mm    789mm
 79.2Hz 122Hz  189Hz  104.7dB    3l +   6l    1x50mm    703mm
 85.8Hz 130Hz  196Hz  106.1dB    3l +   6l    1x50mm    627mm
 92.9Hz 137Hz  203Hz  107.4dB    3l +   6l    1x50mm    559mm
-------------
TM 130 MK II
            80.5dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.3Hz  34Hz   70Hz   76.0dB  -21l +  13l  + 1x40mm   2498mm
 17.9Hz  36Hz   72Hz   77.6dB  -23l +  13l  + 1x40mm   2226mm
 19.6Hz  38Hz   74Hz   79.2dB  -26l +  13l  + 1x40mm   1984mm
 21.4Hz  40Hz   76Hz   80.8dB  -29l +  13l  + 1x40mm   1769mm
 23.4Hz  43Hz   78Hz   82.3dB  -35l +  13l  + 1x40mm   1576mm
 25.6Hz  45Hz   80Hz   83.9dB  -43l +  13l  + 1x40mm   1405mm
 27.9Hz  48Hz   82Hz   85.4dB  -61l +  13l  + 1x40mm   1252mm
 30.4Hz  51Hz   85Hz   86.9dB -109l +  13l  + 1x40mm   1116mm
 33.1Hz  54Hz   87Hz   88.3dB -1160l +  13l  + 1x40mm    994mm
 35.9Hz  57Hz   90Hz   89.8dB  119l +  13l  + 1x40mm    886mm
 39.0Hz  60Hz   93Hz   91.2dB   53l +  13l  - 1x40mm    790mm
 42.2Hz  64Hz   96Hz   92.6dB   33l +  13l  - 1x40mm    704mm
 45.7Hz  66Hz  100Hz   94.0dB   26l +  13l  - 1x40mm    659mm
 49.5Hz  72Hz  104Hz   95.3dB   17l +  13l  - 1x40mm    559mm
 53.5Hz  76Hz  108Hz   96.7dB   13l +  13l    1x50mm    779mm
 57.7Hz  80Hz  112Hz   98.0dB   11l +  13l    1x50mm    694mm
 62.2Hz  85Hz  116Hz   99.3dB    9l +  13l    1x50mm    619mm
 16.3Hz  40Hz   70Hz   76.0dB  -28l +  10l  + 1x40mm   2498mm
 17.9Hz  42Hz   72Hz   77.6dB  -33l +  10l  + 1x40mm   2226mm
 19.6Hz  44Hz   74Hz   79.2dB  -40l +  10l  + 1x40mm   1984mm
 21.4Hz  47Hz   76Hz   80.8dB  -53l +  10l  + 1x40mm   1769mm
 23.4Hz  50Hz   78Hz   82.3dB  -86l +  10l  + 1x40mm   1576mm
 25.6Hz  53Hz   80Hz   83.9dB -276l +  10l  + 1x40mm   1405mm
 27.9Hz  56Hz   82Hz   85.4dB  188l +  10l  + 1x40mm   1252mm
 30.4Hz  59Hz   85Hz   86.9dB   65l +  10l  + 1x40mm   1116mm
 33.1Hz  63Hz   87Hz   88.3dB   38l +  10l  + 1x40mm    995mm
 35.9Hz  66Hz   90Hz   89.8dB   25l +  10l  + 1x40mm    886mm
 39.0Hz  70Hz   93Hz   91.2dB   19l +  10l  - 1x40mm    790mm
 42.2Hz  64Hz   96Hz   92.6dB   33l +  10l  + 1x40mm    958mm
 45.7Hz  66Hz  100Hz   94.0dB   26l +  10l  + 1x40mm    898mm
 49.5Hz  72Hz  104Hz   95.3dB   17l +  10l  - 1x40mm    761mm
 45.9Hz  76Hz  108Hz   94.0dB   13l +  10l  - 1x40mm    678mm
 50.2Hz  80Hz  112Hz   95.6dB   11l +  10l  - 1x40mm    605mm
 62.2Hz  85Hz  116Hz   99.3dB    9l +  10l  - 1x40mm    539mm
 19.5Hz  47Hz  115Hz   79.2dB  -57l +   7l  + 1x40mm   2498mm
 21.6Hz  50Hz  117Hz   80.9dB  -97l +   7l  + 1x40mm   2227mm
 23.7Hz  53Hz  119Hz   82.6dB -451l +   7l  + 1x40mm   1985mm
 26.1Hz  56Hz  122Hz   84.2dB  145l +   7l  + 1x40mm   1768mm
 28.7Hz  60Hz  124Hz   85.9dB   58l +   7l  + 1x40mm   1576mm
 31.5Hz  63Hz  127Hz   87.5dB   35l +   7l  + 1x40mm   1405mm
 34.5Hz  67Hz  130Hz   89.1dB   24l +   7l  + 1x40mm   1252mm
 37.8Hz  71Hz  133Hz   90.6dB   18l +   7l  + 1x40mm   1116mm
 41.3Hz  75Hz  137Hz   92.2dB   14l +   7l  + 1x40mm    994mm
 45.1Hz  80Hz  141Hz   93.7dB   11l +   7l  + 1x40mm    886mm
 49.2Hz  84Hz  145Hz   95.2dB    9l +   7l  - 1x40mm    790mm
 53.5Hz  89Hz  149Hz   96.7dB    7l +   7l  - 1x40mm    704mm
 58.2Hz  95Hz  154Hz   98.1dB    6l +   7l  - 1x40mm    628mm
 63.3Hz 100Hz  159Hz   99.6dB    5l +   7l  - 1x40mm    559mm
 68.7Hz 106Hz  164Hz  101.0dB    5l +   7l    1x50mm    779mm
 74.4Hz 112Hz  170Hz  102.4dB    4l +   7l    1x50mm    694mm
 80.6Hz 119Hz  176Hz  103.8dB    3l +   7l    1x50mm    619mm
