-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 64.9Hz 107Hz  152Hz  105.7dB    2l +   3l  + 1x40mm   1020mm
 70.8Hz 113Hz  158Hz  107.2dB    2l +   3l  + 1x40mm    910mm
 27.6Hz  67Hz  162Hz   90.8dB    7l +   2l  + 1x40mm   3757mm
 30.4Hz  71Hz  165Hz   92.5dB    6l +   2l  + 1x40mm   3350mm
 33.5Hz  75Hz  168Hz   94.2dB    5l +   2l  + 1x40mm   2985mm
 36.9Hz  80Hz  172Hz   95.9dB    5l +   2l  + 1x40mm   2660mm
 40.5Hz  84Hz  175Hz   97.5dB    4l +   2l  + 1x40mm   2371mm
 44.5Hz  89Hz  179Hz   99.1dB    4l +   2l  + 1x40mm   2113mm
 48.7Hz  95Hz  184Hz  100.7dB    3l +   2l  + 1x40mm   1883mm
 53.3Hz 100Hz  188Hz  102.3dB    3l +   2l  + 1x40mm   1678mm
 58.3Hz 106Hz  193Hz  103.8dB    2l +   2l  + 1x40mm   1496mm
 63.6Hz 112Hz  199Hz  105.3dB    2l +   2l  + 1x40mm   1333mm
 69.4Hz 119Hz  204Hz  106.9dB    2l +   2l  + 1x40mm   1188mm
 75.6Hz 126Hz  210Hz  108.3dB    2l +   2l  + 1x40mm   1059mm
 82.2Hz 134Hz  217Hz  109.8dB    1l +   2l  + 1x40mm    944mm
-------------
15W8530K01
            85.0dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.9Hz  37Hz   77Hz   83.3dB   52l +   7l  + 1x40mm   3758mm
 19.6Hz  39Hz   79Hz   84.9dB   39l +   7l  + 1x40mm   3349mm
 21.5Hz  42Hz   81Hz   86.5dB   30l +   7l  + 1x40mm   2985mm
 23.5Hz  44Hz   83Hz   88.0dB   24l +   7l  + 1x40mm   2661mm
 25.7Hz  47Hz   85Hz   89.6dB   20l +   7l  + 1x40mm   2371mm
 28.1Hz  50Hz   87Hz   91.1dB   16l +   7l  + 1x40mm   2113mm
 30.6Hz  52Hz   90Hz   92.6dB   14l +   7l  + 1x40mm   1883mm
 33.3Hz  56Hz   93Hz   94.1dB   12l +   7l  + 1x40mm   1679mm
 36.2Hz  59Hz   96Hz   95.6dB   10l +   7l  + 1x40mm   1496mm
 39.4Hz  62Hz   99Hz   97.0dB    8l +   7l  + 1x40mm   1333mm
 42.7Hz  66Hz  102Hz   98.4dB    7l +   7l  + 1x40mm   1188mm
 46.3Hz  70Hz  106Hz   99.8dB    6l +   7l  + 1x40mm   1059mm
 50.2Hz  72Hz  110Hz  101.2dB    6l +   7l  + 1x40mm    992mm
 54.3Hz  79Hz  114Hz  102.6dB    5l +   7l  + 1x40mm    841mm
 58.6Hz  83Hz  118Hz  103.9dB    4l +   7l  - 1x40mm    750mm
 63.3Hz  88Hz  123Hz  105.2dB    4l +   7l  - 1x40mm    668mm
 68.2Hz  93Hz  128Hz  106.6dB    3l +   7l  - 1x40mm    596mm
 17.9Hz  43Hz   77Hz   83.3dB   26l +   5l  + 1x40mm   3758mm
 19.6Hz  46Hz   79Hz   84.9dB   21l +   5l  + 1x40mm   3349mm
 21.5Hz  49Hz   81Hz   86.5dB   17l +   5l  + 1x40mm   2984mm
 23.5Hz  52Hz   83Hz   88.0dB   14l +   5l  + 1x40mm   2660mm
 25.7Hz  55Hz   85Hz   89.6dB   12l +   5l  + 1x40mm   2371mm
